token,occurrences_core,distinct_lines,dominant_role,dominant_role_share,role_entropy_norm,stratified_role_purity,stratum_majority_role_agreement,strata_total,strata_with_2plus_occurrences,portable_strata_2plus,conflict_strata_2plus,dominant_module,dominant_module_share,module_entropy_norm,stratified_module_purity,distinct_section_I,dominant_I,dominant_I_share,section_I_entropy_norm,distinct_currier_L,dominant_L,dominant_L_share,currier_L_entropy_norm,distinct_hand_H,dominant_H,dominant_H_share,hand_H_entropy_norm,distinct_marker_family,dominant_marker,dominant_marker_share,marker_entropy_norm,metadata_concentration_risk_max_share,pass26_residual_status,pass21_24_candidate_class,pass21_24_candidate_confidence,sample_loci,sample_strata
ar,58,52,R06,1.0,0.0,1.0,1.0,15,7,7,0,G2,0.466,0.811,0.672,7,S,0.483,0.732,3,B,0.724,0.708,5,3,0.483,0.777,4,paragraph_continuation,0.897,0.315,0.897,ROBUST_INTERNAL_FUNCTION_AFTER_CONFOUND_CONTROL,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f11v.3,+P0;f26v.5,+P0;f32v.10,+P0;f34r.13,+P0;f35v.13,+P0;f39r.7,+P0;f39r.11,+P0;f39v.9,+P0;f40r.5,+P0;f40v.16,+P0",A||4|paragraph_continuation:2/R06;A||4|paragraph_start:1/R06;A||4|radial/ring_text:1/R06;B|B|2|paragraph_continuation:2/R06;C|B|2|paragraph_continuation:1/R06;C||4|&L:1/R06
dar,49,47,R06,1.0,0.0,1.0,1.0,16,8,8,0,G2,0.449,0.971,0.735,7,H,0.388,0.858,3,B,0.571,0.836,5,2,0.49,0.778,7,paragraph_continuation,0.816,0.409,0.816,ROBUST_INTERNAL_FUNCTION_AFTER_CONFOUND_CONTROL,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f6r.9,+P0;f8r.19,+P0;f8v.5,+P0;f8v.7,+P0;f13r.3,+P0;f22r.3,+P0;f23r.6,+P0;f24v.7,+P0;f33r.4,+P0;f39r.7,+P0",A||4|&L:1/R06;A||4|circular/diagram_text:1/R06;A||4|radial/ring_text:1/R06;B|B|2|paragraph_continuation:10/R06;B|B|2|paragraph_start:1/R06;C|B|2|paragraph_continuation:2/R06
chor,48,47,R11,1.0,0.0,1.0,1.0,11,5,5,0,G3C,0.75,0.67,0.833,5,H,0.75,0.536,3,A,0.854,0.433,5,1,0.833,0.391,4,paragraph_continuation,0.854,0.4,0.854,ROBUST_INTERNAL_FUNCTION_AFTER_CONFOUND_CONTROL,COMPACT_LABEL_OR_INDEX_LEXEME_CANDIDATE,MEDIUM,"f1r.8,+P0;f1r.20,+P0;f3r.8,+P0;f3v.5,+P0;f3v.7,+P0;f4v.7,+P0;f4v.8,+P0;f5v.1,@P0;f6r.2,+P0;f6v.13,+P0",A||4|paragraph_start:1/R11;H|A|1|paragraph_continuation:31/R11;H|A|1|paragraph_start:3/R11;H|A|1|section/paragraph_break_start:1/R11;H|B|2|paragraph_continuation:1/R11;P|A|1|label_or_marginal:2/R11
shey,48,46,R06,1.0,0.0,1.0,1.0,12,7,7,0,G2,0.583,0.864,0.708,6,B,0.312,0.85,3,B,0.729,0.599,6,2,0.438,0.723,2,paragraph_continuation,0.875,0.544,0.875,ROBUST_INTERNAL_FUNCTION_AFTER_CONFOUND_CONTROL,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f7r.1,@P0;f8v.7,+P0;f11r.1,@P0;f13r.9,+P0;f15r.1,@P0;f21r.11,+P0;f46r.12,+P0;f51r.10,+P0;f58v.10,+P0;f66r.80,+P0",A||4|paragraph_continuation:1/R06;B|B|2|paragraph_continuation:15/R06;H|A|1|paragraph_continuation:5/R06;H|A|1|paragraph_start:4/R06;H|B|2|paragraph_continuation:1/R06;P|A|1|paragraph_continuation:2/R06
s,39,39,R06,1.0,0.0,1.0,1.0,14,5,5,0,G3C,0.641,0.79,0.718,7,H,0.641,0.636,3,A,0.615,0.782,5,1,0.59,0.716,5,paragraph_continuation,0.692,0.621,0.692,ROBUST_INTERNAL_FUNCTION_AFTER_CONFOUND_CONTROL,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f3r.5,+P0;f3r.20,+P0;f3v.7,+P0;f4v.13,+P0;f6v.6,+P0;f6v.13,+P0;f9r.1,@P0;f13r.2,+P0;f14r.8,+P0;f19v.6,+P0",A||4|label_or_marginal:1/R06;A||4|paragraph_start:1/R06;B|B|2|=L:2/R06;B|B|2|paragraph_continuation:1/R06;C||4|label_or_marginal:1/R06;H|A|1|label_or_marginal:1/R06
dal,37,36,R09,1.0,0.0,1.0,1.0,13,7,7,0,G2,0.378,0.991,0.73,6,B,0.351,0.851,3,B,0.595,0.799,4,2,0.514,0.844,5,paragraph_continuation,0.865,0.358,0.865,ROBUST_INTERNAL_FUNCTION_AFTER_CONFOUND_CONTROL,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f1v.3,+P0;f2r.11,+P0;f24r.15,+P0;f24r.16,+P0;f34r.7,+P0;f39v.9,+P0;f42r.3,+P0;f51r.9,+P0;f55r.9,+P0;f56r.7,+P0",B|B|2|+L:1/R09;B|B|2|paragraph_continuation:11/R09;B|B|2|paragraph_start:1/R09;C|B|2|paragraph_continuation:2/R09;C||4|paragraph_continuation:1/R09;C||4|radial/ring_text:2/R09
okeey,37,36,R06,1.0,0.0,1.0,1.0,12,5,5,0,G3C,0.432,0.966,0.649,7,S,0.541,0.759,3,B,0.595,0.863,5,3,0.514,0.782,4,paragraph_continuation,0.757,0.565,0.757,ROBUST_INTERNAL_FUNCTION_AFTER_CONFOUND_CONTROL,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f17v.20,+P0;f35v.16,+P0;f51r.5,+P0;f58v.35,+P0;f67r1.18,@Ri;f68v2.4,+P0;f68v1.8,@Ro;f69r.8,&L0;f69r.41,@Ro;f72r1.16,&Lz",A||4|paragraph_continuation:1/R06;A||4|radial/ring_text:2/R06;B|B|2|=L:1/R06;B|B|2|paragraph_continuation:2/R06;C||4|&L:1/R06;C||4|radial/ring_text:1/R06
okal,36,34,R07,1.0,0.0,1.0,1.0,13,6,6,0,G1,0.528,0.927,0.778,7,S,0.5,0.78,3,B,0.583,0.86,5,3,0.528,0.791,4,paragraph_continuation,0.833,0.429,0.833,ROBUST_INTERNAL_FUNCTION_AFTER_CONFOUND_CONTROL,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f17v.3,+P0;f25r.6,+P0;f39v.9,+P0;f40v.18,+P0;f54v.8,+P0;f58v.10,+P0;f58v.15,+P0;f58v.28,+P0;f58v.31,+P0;f58v.38,+P0",A||4|&L:1/R07;A||4|+L:1/R07;B|B|2|label_or_marginal:1/R07;B|B|2|paragraph_continuation:3/R07;H|A|1|paragraph_continuation:3/R07;H|B|2|paragraph_continuation:2/R07
oky,29,29,R00,1.0,0.0,1.0,1.0,14,5,5,0,G3C,0.621,0.806,0.897,8,H,0.414,0.849,3,A,0.448,0.97,5,1,0.414,0.859,7,paragraph_continuation,0.621,0.652,0.621,ROBUST_INTERNAL_FUNCTION_AFTER_CONFOUND_CONTROL,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f3r.8,+P0;f9v.3,+P0;f11v.3,+P0;f17v.4,+P0;f19v.9,+P0;f21v.5,+P0;f22v.1,@P0;f24r.17,+P0;f43v.3,+P0;f45v.10,+P0",A||4|circular/diagram_text:1/R00;A||4|label_or_marginal:1/R00;B|B|2|paragraph_continuation:1/R00;C|B|4|+L:1/R00;C||4|radial/ring_text:1/R00;H|A|1|paragraph_continuation:9/R00
sheey,29,28,R06,1.0,0.0,1.0,1.0,10,6,6,0,G2,0.69,0.758,0.759,7,S,0.31,0.865,3,B,0.655,0.743,4,2,0.448,0.827,3,paragraph_continuation,0.897,0.363,0.897,ROBUST_INTERNAL_FUNCTION_AFTER_CONFOUND_CONTROL,CROSS_TOPIC_FUNCTIONAL_PARTICLE_CANDIDATE,MEDIUM_HIGH,"f2r.11,+P0;f7r.1,@P0;f7r.3,+P0;f58v.22,+Pc;f58v.25,+P0;f58v.28,+P0;f68r2.29,@Ls;f76r.6,+P0;f76r.45,+P0;f76r.47,+P0",A||4|label_or_marginal:1/R06;B|B|2|paragraph_continuation:7/R06;C|B|2|paragraph_continuation:1/R06;H|A|1|paragraph_continuation:2/R06;H|A|1|paragraph_start:1/R06;P|A|1|paragraph_continuation:2/R06
