scope_name,scope_type,scope_value,lens,role_unit_key,dominant_role,occurrences,distinct_lines,distinct_token_types,dominant_role_share,section_count,currier_count,hand_count,marker_count,top_tokens,induction_votes,loose_induction_votes,mean_induction_match,mean_induction_cluster_purity,induction_detail,tokenization_votes,tokenization_loose_votes,supported_tokenization_variants,tokenization_support_detail,tier,new_occurrences_after_higher_tiers,reason_not_promoted
global,global,global,surface_token,daiin,R10,134,116,1,1.0,7,3,6,5,daiin,1,1,0.139,0.517,16:0.000/0.461 24:0.000/0.480 32:0.000/0.449 48:0.000/0.461 64:0.694/0.733,2,2,"surface_token_key, frame_terminal_key",surface_token_key:1.00/1.00 conservative_family_key:0.00/0.00 broad_shape_family_key:0.00/0.00 stolfi_signature_key:0.00/0.00 frame_terminal_key:1.00/1.00 edge_signature_key:0.00/0.00 left_boundary_merge_broad_key:0.00/0.12 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,53,induction support below promoted threshold
line_marker,line_marker_family,paragraph_continuation,surface_token,daiin,R10,126,108,1,1.0,7,3,6,1,daiin,1,1,0.135,0.518,16:0.000/0.464 24:0.000/0.481 32:0.000/0.454 48:0.000/0.460 64:0.675/0.733,2,2,"surface_token_key, frame_terminal_key",surface_token_key:1.00/1.00 conservative_family_key:0.00/0.00 broad_shape_family_key:0.00/0.00 stolfi_signature_key:0.00/0.00 frame_terminal_key:1.00/1.00 edge_signature_key:0.00/0.00 left_boundary_merge_broad_key:0.00/0.10 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,50,induction support below promoted threshold
global,global,global,broad_shape,EXGX|y,R00,25,25,8,0.96,6,3,4,2,"checkhy, sheckhy, checthy, shecthy, sheeckhy, cheecthy, eeckhy, oeecthy",0,5,0.92,0.427,16:0.960/0.415 24:0.960/0.423 32:0.920/0.425 48:0.880/0.435 64:0.880/0.439,2,3,"broad_shape_family_key, stolfi_signature_key",surface_token_key:0.00/0.00 conservative_family_key:0.48/0.84 broad_shape_family_key:1.00/1.00 stolfi_signature_key:0.56/1.00 frame_terminal_key:0.00/0.00 edge_signature_key:0.00/0.52 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,25,induction support below promoted threshold
currier,meta_L,B,stolfi_inspired_signature,NG|S_OL|T_r,R06,143,113,15,0.853,5,1,5,4,"ar, dar, or, sar, sor, chor, char, dor",5,5,0.789,0.48,16:0.944/0.464 24:0.755/0.482 32:0.769/0.481 48:0.818/0.502 64:0.657/0.473,2,4,"surface_token_key, edge_signature_key",surface_token_key:0.67/0.73 conservative_family_key:0.00/0.00 broad_shape_family_key:0.00/0.00 stolfi_signature_key:0.00/1.00 frame_terminal_key:0.34/0.82 edge_signature_key:0.67/0.73 left_boundary_merge_broad_key:0.00/0.07 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.14/0.29 right_boundary_merge_stolfi_key:0.00/0.15,good_but_not_reliable_enough,23,role purity below promoted threshold
hand,meta_H,2,surface_token,daiin,R10,23,19,1,1.0,3,1,1,1,daiin,1,1,0.122,0.503,16:0.000/0.454 24:0.000/0.458 32:0.000/0.444 48:0.000/0.452 64:0.609/0.705,2,2,"surface_token_key, frame_terminal_key",surface_token_key:1.00/1.00 conservative_family_key:0.00/0.00 broad_shape_family_key:0.00/0.00 stolfi_signature_key:0.00/0.00 frame_terminal_key:1.00/1.00 edge_signature_key:0.00/0.00 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,23,induction support below promoted threshold
hand,meta_H,2,surface_token,qokal,H08,23,21,1,1.0,3,1,1,1,qokal,1,1,0.478,0.401,16:0.348/0.344 24:0.609/0.471 32:0.304/0.432 48:0.478/0.378 64:0.652/0.380,2,2,"surface_token_key, frame_terminal_key",surface_token_key:1.00/1.00 conservative_family_key:0.00/0.00 broad_shape_family_key:0.00/0.00 stolfi_signature_key:0.00/0.00 frame_terminal_key:1.00/1.00 edge_signature_key:0.00/0.00 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,23,induction support below promoted threshold
line_marker,line_marker_family,paragraph_continuation,broad_shape,EXGX|y,R00,23,23,6,1.0,5,2,3,1,"checkhy, sheckhy, checthy, shecthy, sheeckhy, eeckhy",0,5,0.913,0.432,16:0.957/0.415 24:0.957/0.428 32:0.913/0.432 48:0.870/0.441 64:0.870/0.442,2,3,"broad_shape_family_key, stolfi_signature_key",surface_token_key:0.00/0.00 conservative_family_key:0.52/0.91 broad_shape_family_key:1.00/1.00 stolfi_signature_key:0.61/1.00 frame_terminal_key:0.00/0.00 edge_signature_key:0.00/0.52 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,23,induction support below promoted threshold
currier_hand,currier_hand,B|2,surface_token,daiin,R10,23,19,1,1.0,3,1,1,1,daiin,1,1,0.122,0.503,16:0.000/0.454 24:0.000/0.458 32:0.000/0.444 48:0.000/0.452 64:0.609/0.705,2,2,"surface_token_key, frame_terminal_key",surface_token_key:1.00/1.00 conservative_family_key:0.00/0.00 broad_shape_family_key:0.00/0.00 stolfi_signature_key:0.00/0.00 frame_terminal_key:1.00/1.00 edge_signature_key:0.00/0.00 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,23,induction support below promoted threshold
currier_hand,currier_hand,B|2,surface_token,qokal,H08,23,21,1,1.0,3,1,1,1,qokal,1,1,0.478,0.401,16:0.348/0.344 24:0.609/0.471 32:0.304/0.432 48:0.478/0.378 64:0.652/0.380,2,2,"surface_token_key, frame_terminal_key",surface_token_key:1.00/1.00 conservative_family_key:0.00/0.00 broad_shape_family_key:0.00/0.00 stolfi_signature_key:0.00/0.00 frame_terminal_key:1.00/1.00 edge_signature_key:0.00/0.00 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,23,induction support below promoted threshold
currier,meta_L,B,broad_shape,EXGX|y,R00,21,21,5,1.0,4,1,2,1,"checkhy, sheckhy, checthy, shecthy, sheeckhy",0,5,0.905,0.423,16:0.952/0.405 24:0.952/0.415 32:0.905/0.425 48:0.857/0.432 64:0.857/0.439,2,3,"broad_shape_family_key, stolfi_signature_key",surface_token_key:0.00/0.00 conservative_family_key:0.00/0.95 broad_shape_family_key:1.00/1.00 stolfi_signature_key:0.57/1.00 frame_terminal_key:0.00/0.00 edge_signature_key:0.00/0.00 left_boundary_merge_broad_key:0.00/0.00 right_boundary_merge_broad_key:0.00/0.00 left_boundary_merge_stolfi_key:0.00/0.00 right_boundary_merge_stolfi_key:0.00/0.00,good_but_not_reliable_enough,21,induction support below promoted threshold
