lens,role_unit_key,dominant_role_dev,occurrences_dev,distinct_lines_dev,dominant_role_heldout,occurrences_heldout,distinct_lines_heldout,dominant_role_share,stratified_role_purity,strata_total,distinct_section_I,metadata_concentration_risk_max_share,supported_loose,supported_standard,basis,seen_in_heldout,same_dominant_role,heldout_retained_loose
broad_shape,X|NONE,R06,25,25,R06,21,21,0.81,0.905,5,4,0.619,True,False,folio,True,True,True
stolfi_inspired_signature,NG|S_OEL|T_in,R06,66,58,R06,27,24,0.889,0.889,8,5,0.926,True,False,folio,True,True,True
stolfi_inspired_signature,NG|S_EY|T_y,R06,64,60,R06,40,36,1.0,1.0,10,5,0.95,False,False,folio,True,True,False
stolfi_inspired_signature,G_k|S_OL|T_r,R03,47,43,R03,21,16,0.762,0.857,8,4,0.905,True,False,folio,True,True,True
stolfi_inspired_signature,NG|S_EY|T_ey,R06,40,37,R06,23,21,0.783,0.826,8,5,0.957,False,False,folio,True,True,False
stolfi_inspired_signature,NG|S_OL|T_m,R06,33,32,R06,18,17,0.556,0.667,7,5,0.944,False,False,folio,True,True,False
stolfi_inspired_signature,NG|S_X|T_NONE,R06,25,25,R06,21,21,0.81,0.905,5,4,0.619,True,False,folio,True,True,True
surface_token,dar,R06,38,37,R06,11,10,1.0,1.0,5,2,1.0,False,False,folio,True,True,False
surface_token,ar,R06,37,35,R06,21,17,1.0,1.0,6,4,1.0,False,False,folio,True,True,False
surface_token,aiin,R06,36,30,R06,21,21,1.0,1.0,8,5,0.952,False,False,folio,True,True,False
surface_token,or,R06,33,32,R06,15,14,1.0,1.0,7,4,1.0,False,False,folio,True,True,False
surface_token,shey,R06,31,30,R06,17,16,1.0,1.0,8,4,0.882,False,False,folio,True,True,False
surface_token,okeey,R06,28,27,R06,9,9,1.0,1.0,7,5,0.778,False,False,folio,True,True,False
surface_token,dal,R09,27,26,R09,10,10,1.0,1.0,9,6,0.8,False,False,folio,True,True,False
surface_token,chor,R11,25,24,R11,23,23,1.0,1.0,7,4,1.0,False,False,folio,True,True,False
surface_token,okaiin,R10,25,25,R10,17,16,1.0,1.0,5,4,1.0,False,False,folio,True,True,False
surface_token,okal,R07,25,24,R07,11,10,1.0,1.0,5,4,0.909,False,False,folio,True,True,False
