lens,role_unit_key,occurrences,distinct_lines,distinct_token_types,strata_total,distinct_section_I,distinct_currier_L,distinct_hand_H,distinct_marker_family,dominant_role,dominant_role_count,dominant_role_share,role_entropy_norm,dominant_section_I,dominant_section_I_share,section_I_entropy_norm,dominant_currier_L,dominant_currier_L_share,currier_L_entropy_norm,dominant_hand_H,dominant_hand_H_share,hand_H_entropy_norm,dominant_marker,dominant_marker_share,marker_entropy_norm,stratified_role_purity,stratum_majority_role_agreement,metadata_concentration_risk_max_share,observed_frame_prefixes,observed_terminal_classes,top_tokens,sample_loci,status_strict,supported_strict,status_standard,supported_standard,status_loose,supported_loose,supported_all_thresholds,supported_standard_not_strict
surface_token,daiin,134,116,1,16,7,2,6,5,R10,134,1.0,0.0,H,0.582,0.659,A,0.604,1.121,1,0.582,0.681,paragraph_continuation,0.94,0.18,1.0,1.0,0.94,d,iin,daiin,"f3v.10,+P0, f4r.7,+P0, f5v.1,@P0, f6r.2,+P0, f6r.6,+P0, f6v.7,+P0, f7r.4,+P0, f8v.17,+P0",STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,ROLE_STABLE_ACROSS_CONFOUNDS,True,False,False
surface_token,chol,96,83,1,14,7,2,5,3,R07,96,1.0,0.0,H,0.594,0.652,A,0.688,1.073,1,0.667,0.629,paragraph_continuation,0.979,0.105,1.0,1.0,0.979,ch,l,chol,"f3r.8,+P0, f3r.20,+P0, f3v.10,+P0, f5v.2,+P0, f6v.14,+P0, f7r.9,+P0, f8v.5,+P0, f10r.5,+P0",STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,False,False
surface_token,shedy,95,83,1,11,5,1,4,3,R06,95,1.0,0.0,B,0.568,0.719,B,1.0,0.0,2,0.758,0.51,paragraph_continuation,0.947,0.22,1.0,1.0,1.0,sh,dy,shedy,"f33r.3,+P0, f41r.10,+P0, f46v.3,+P0, f50v.2,+P0, f66r.67,+P0, f66r.70,+P0, f75r.11,+P0, f75r.15,+P0",STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,False,False
surface_token,chedy,94,82,1,9,4,1,4,3,R02,94,1.0,0.0,S,0.436,0.827,B,1.0,0.0,2,0.543,0.596,paragraph_continuation,0.957,0.182,1.0,1.0,1.0,ch,dy,chedy,"f39r.7,+P0, f40r.5,+P0, f40v.13,+P0, f43v.8,+P0, f46v.3,+P0, f46v.13,+P1, f66r.61,+P0, f75r.7,+P0",STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,False,False
surface_token,qokedy,89,73,1,11,5,1,5,2,H12,89,1.0,0.0,B,0.596,0.718,B,1.0,0.0,2,0.719,0.519,paragraph_continuation,0.966,0.213,1.0,1.0,1.0,qok,dy,qokedy,"f26r.6,+P0, f33r.3,+P0, f34r.7,+P0, f40v.13,+P0, f41r.7,+P0, f41r.10,+P0, f50v.8,+P0, f66r.76,+P0",STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,False,False
surface_token,qokeedy,85,70,1,8,5,1,4,2,H01,85,1.0,0.0,B,0.541,0.612,B,1.0,0.0,2,0.6,0.588,paragraph_continuation,0.988,0.092,1.0,1.0,1.0,qok,edy,qokeedy,"f40v.17,+P0, f41r.10,+P0, f66r.51,+P0, f75r.6,+P0, f75r.11,+P0, f75r.25,+P0, f75r.29,+P0, f75r.37,+P0",STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,False,False
surface_token,qokeey,77,67,1,10,6,2,4,3,H08,77,1.0,0.0,S,0.481,0.724,B,0.857,0.592,3,0.481,0.729,paragraph_continuation,0.948,0.212,1.0,1.0,0.948,qok,ey,qokeey,"f17v.8,+P0, f23r.4,+P0, f34r.11,+P0, f58v.7,+P0, f58v.18,+P0, f58v.31,+P0, f66r.55,+P0, f75r.33,+P0",STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,ROLE_STABLE_ACROSS_CONFOUNDS,True,False,False
surface_token,ol,73,66,1,11,6,2,5,4,R06,73,1.0,0.0,B,0.521,0.75,B,0.808,0.819,2,0.603,0.687,paragraph_continuation,0.959,0.156,1.0,1.0,0.959,NONE,l,ol,"f3r.9,+P0, f4v.2,+P0, f17v.8,+P0, f17v.12,+P0, f17v.18,+P0, f24r.15,+P0, f32v.11,+P0, f35v.13,+P0",STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,False,False
surface_token,ar,58,52,1,15,7,2,5,4,R06,58,1.0,0.0,S,0.483,0.732,B,0.724,1.122,3,0.483,0.777,paragraph_continuation,0.897,0.315,1.0,1.0,0.897,NONE,r,ar,"f11v.3,+P0, f26v.5,+P0, f32v.10,+P0, f34r.13,+P0, f35v.13,+P0, f39r.7,+P0, f39r.11,+P0, f39v.9,+P0",STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,ROLE_STABLE_ACROSS_CONFOUNDS,True,ROLE_STABLE_ACROSS_CONFOUNDS,True,False,True
surface_token,aiin,57,51,1,13,7,2,5,4,R06,57,1.0,0.0,S,0.474,0.744,B,0.789,0.936,3,0.474,0.741,paragraph_continuation,0.93,0.236,1.0,1.0,0.93,NONE,iin,aiin,"f3r.20,+P0, f10r.4,+P0, f29r.1,@P0, f33r.4,+P0, f34r.4,+P0, f39r.11,+P0, f39v.9,+P0, f43r.3,+P0",STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,ROLE_STABLE_ACROSS_CONFOUNDS,True,False,False
surface_token,qokain,57,54,1,4,3,2,2,1,H08,57,1.0,0.0,B,0.614,0.714,B,0.965,0.219,2,0.649,0.935,paragraph_continuation,1.0,0.0,1.0,1.0,1.0,qok,in,qokain,"f58v.31,+P0, f58v.39,+P0, f75r.3,+P0, f75r.6,+P0, f75r.8,+P0, f75r.10,+P0, f75r.13,+P0, f75r.15,+P0",CONTEXTUAL_ROLE_SIGNAL,False,CONTEXTUAL_ROLE_SIGNAL,False,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,False,False
surface_token,chey,54,50,1,10,5,2,4,2,R06,54,1.0,0.0,S,0.593,0.731,B,0.87,0.556,3,0.574,0.719,paragraph_continuation,0.963,0.229,1.0,1.0,0.963,ch,y,chey,"f1r.20,+P0, f4v.2,+P0, f9r.3,+P0, f29r.9,+P0, f29v.2,+P0, f34r.4,+P0, f43v.3,+P0, f43v.16,+P0",STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,False,False
surface_token,dar,49,47,1,16,7,2,5,7,R06,49,1.0,0.0,H,0.388,0.858,B,0.571,1.325,2,0.49,0.778,paragraph_continuation,0.816,0.409,1.0,1.0,0.816,d,r,dar,"f6r.9,+P0, f8r.19,+P0, f8v.5,+P0, f8v.7,+P0, f13r.3,+P0, f22r.3,+P0, f23r.6,+P0, f24v.7,+P0",ROLE_STABLE_ACROSS_CONFOUNDS,True,ROLE_STABLE_ACROSS_CONFOUNDS,True,ROLE_STABLE_ACROSS_CONFOUNDS,True,True,False
surface_token,chor,48,47,1,11,5,2,5,4,R11,48,1.0,0.0,H,0.75,0.536,A,0.854,0.686,1,0.833,0.391,paragraph_continuation,0.854,0.4,1.0,1.0,0.854,ch,r,chor,"f1r.8,+P0, f1r.20,+P0, f3r.8,+P0, f3v.5,+P0, f3v.7,+P0, f4v.7,+P0, f4v.8,+P0, f5v.1,@P0",ROLE_STABLE_ACROSS_CONFOUNDS,True,ROLE_STABLE_ACROSS_CONFOUNDS,True,ROLE_STABLE_ACROSS_CONFOUNDS,True,True,False
surface_token,dain,48,45,1,11,5,2,3,3,R06,48,1.0,0.0,H,0.312,0.891,B,0.625,0.954,1,0.375,0.991,paragraph_continuation,0.917,0.304,1.0,1.0,0.917,d,in,dain,"f1r.8,+P0, f1r.10,=Pt, f1r.20,+P0, f5v.2,+P0, f8r.8,=Pt, f8v.17,+P0, f10v.2,+P0, f10v.7,+P0",STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,ROLE_STABLE_ACROSS_CONFOUNDS,True,ROLE_STABLE_ACROSS_CONFOUNDS,True,False,True
surface_token,or,48,46,1,15,7,2,4,3,R06,48,1.0,0.0,H,0.438,0.823,B,0.542,1.258,1,0.375,0.882,paragraph_continuation,0.917,0.314,1.0,1.0,0.917,NONE,r,or,"f1r.3,+P0, f1v.2,+P0, f3v.6,+P0, f6r.6,+P0, f6v.13,+P0, f6v.18,+P0, f10r.4,+P0, f18r.4,+P0",STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,ROLE_STABLE_ACROSS_CONFOUNDS,True,ROLE_STABLE_ACROSS_CONFOUNDS,True,False,True
surface_token,shey,48,46,1,12,6,2,6,2,R06,48,1.0,0.0,B,0.312,0.85,B,0.729,0.949,2,0.438,0.723,paragraph_continuation,0.875,0.544,1.0,1.0,0.875,sh,y,shey,"f7r.1,@P0, f8v.7,+P0, f11r.1,@P0, f13r.9,+P0, f15r.1,@P0, f21r.11,+P0, f46r.12,+P0, f51r.10,+P0",ROLE_STABLE_ACROSS_CONFOUNDS,True,ROLE_STABLE_ACROSS_CONFOUNDS,True,ROLE_STABLE_ACROSS_CONFOUNDS,True,True,False
surface_token,qokaiin,44,43,1,10,6,2,3,3,H08,44,1.0,0.0,S,0.5,0.784,B,0.841,0.632,3,0.5,0.875,paragraph_continuation,0.955,0.197,1.0,1.0,0.955,qok,iin,qokaiin,"f23r.6,+P0, f29r.7,+P0, f40v.17,+P0, f45r.2,+P0, f54v.8,+P0, f58v.9,+P0, f58v.10,+P0, f76r.32,=P0",STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,False,False
surface_token,qoky,43,42,1,10,5,2,4,2,H01,43,1.0,0.0,B,0.558,0.746,B,0.814,0.693,2,0.628,0.74,paragraph_continuation,0.977,0.159,1.0,1.0,0.977,qo,y,qoky,"f15v.4,+P0, f18v.3,+P0, f40v.16,+P0, f43v.16,+P0, f45r.2,+P0, f53r.7,+P0, f58v.38,+P0, f66r.69,+P0",STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,False,False
surface_token,okaiin,42,41,1,9,6,2,4,4,R10,42,1.0,0.0,S,0.381,0.803,B,0.786,0.913,2,0.405,0.849,paragraph_continuation,0.905,0.298,1.0,1.0,0.905,ok,iin,okaiin,"f15r.11,+P0, f16v.9,+P0, f33r.4,+P0, f36v.9,+P1, f40v.4,+P0, f40v.12,+P0, f40v.15,+P0, f47r.3,+P0",STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,ROLE_STABLE_ACROSS_CONFOUNDS,True,ROLE_STABLE_ACROSS_CONFOUNDS,True,False,True
