lens,status,count
surface_token,ROLE_STABLE_ACROSS_CONFOUNDS,16
surface_token,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,37
surface_token,CONTEXTUAL_ROLE_SIGNAL,64
surface_token,LOW_POWER_OR_UNSTABLE,2480
conservative_morphology,ROLE_STABLE_ACROSS_CONFOUNDS,1
conservative_morphology,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,5
conservative_morphology,CONTEXTUAL_ROLE_SIGNAL,61
conservative_morphology,LOW_POWER_OR_UNSTABLE,1591
broad_shape,ROLE_STABLE_ACROSS_CONFOUNDS,4
broad_shape,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,11
broad_shape,CONTEXTUAL_ROLE_SIGNAL,62
broad_shape,LOW_POWER_OR_UNSTABLE,1029
stolfi_inspired_signature,ROLE_STABLE_ACROSS_CONFOUNDS,8
stolfi_inspired_signature,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,11
stolfi_inspired_signature,CONTEXTUAL_ROLE_SIGNAL,86
stolfi_inspired_signature,LOW_POWER_OR_UNSTABLE,1396
