lens,role_unit_key,induction_k,induced_cluster,cluster_dominant_role,cluster_dominant_role_share,dominant_role,occurrences,status_standard,supported_standard,supported_loose,induced_agrees_with_audited_role,induced_high_purity
surface_token,aiin,24,2,R06,1.0,R06,57,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,True,True,True
surface_token,ain,24,2,R06,1.0,R06,12,CONTEXTUAL_ROLE_SIGNAL,False,False,True,True
surface_token,al,24,22,R06,0.778,R06,31,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,True,True,True
surface_token,am,24,1,R06,0.519,R06,11,CONTEXTUAL_ROLE_SIGNAL,False,False,True,False
surface_token,ar,24,22,R06,0.778,R06,58,ROLE_STABLE_ACROSS_CONFOUNDS,True,True,True,True
surface_token,chal,24,16,R07,0.471,R00,12,CONTEXTUAL_ROLE_SIGNAL,False,False,False,False
surface_token,char,24,22,R06,0.778,R11,12,CONTEXTUAL_ROLE_SIGNAL,False,False,False,True
surface_token,chckhy,24,0,R00,0.416,R00,41,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,False,True,False
surface_token,chcthy,24,0,R00,0.416,R04,16,CONTEXTUAL_ROLE_SIGNAL,False,False,False,False
surface_token,chdy,24,13,R02,0.648,R02,27,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,True,True,True
surface_token,chear,24,12,R06,0.665,R00,12,CONTEXTUAL_ROLE_SIGNAL,False,False,False,True
surface_token,chedy,24,9,R06,0.389,R02,94,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,False,False,False
surface_token,cheedy,24,9,R06,0.389,R06,11,CONTEXTUAL_ROLE_SIGNAL,False,False,True,False
surface_token,cheey,24,12,R06,0.665,R06,25,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,True,True,True
surface_token,cheky,24,0,R00,0.416,R06,15,CONTEXTUAL_ROLE_SIGNAL,False,False,False,False
surface_token,cheody,24,9,R06,0.389,R00,17,CONTEXTUAL_ROLE_SIGNAL,False,False,False,False
surface_token,cheol,24,12,R06,0.665,R00,25,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,True,False,True
surface_token,cheor,24,12,R06,0.665,R00,13,CONTEXTUAL_ROLE_SIGNAL,False,False,False,True
surface_token,chey,24,12,R06,0.665,R06,54,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,False,False,True,True
