lens,induction_k,subset,units,induced_role_agreement,induced_high_purity_agreement,mean_cluster_role_purity
surface_token,24,standard,16,11,10,0.701
surface_token,24,loose,32,20,17,0.676
conservative_morphology,24,standard,1,0,0,0.36
conservative_morphology,24,loose,4,2,2,0.522
broad_shape,24,standard,4,1,1,0.503
broad_shape,24,loose,13,8,5,0.531
stolfi_inspired_signature,24,standard,8,5,3,0.564
stolfi_inspired_signature,24,loose,15,11,7,0.582
surface_token,32,standard,16,10,10,0.705
surface_token,32,loose,32,21,18,0.689
conservative_morphology,32,standard,1,1,1,0.62
conservative_morphology,32,loose,4,3,2,0.594
broad_shape,32,standard,4,2,1,0.486
broad_shape,32,loose,13,9,5,0.519
stolfi_inspired_signature,32,standard,8,6,3,0.496
stolfi_inspired_signature,32,loose,15,13,8,0.564
surface_token,40,standard,16,10,9,0.763
surface_token,40,loose,32,20,18,0.719
conservative_morphology,40,standard,1,1,0,0.505
conservative_morphology,40,loose,4,3,1,0.518
broad_shape,40,standard,4,3,3,0.634
broad_shape,40,loose,13,11,10,0.676
stolfi_inspired_signature,40,standard,8,6,3,0.617
stolfi_inspired_signature,40,loose,15,10,7,0.614
surface_token,50,standard,16,10,7,0.639
surface_token,50,loose,32,22,16,0.668
conservative_morphology,43,standard,1,1,1,0.639
conservative_morphology,43,loose,4,4,4,0.731
broad_shape,50,standard,4,4,4,0.841
broad_shape,50,loose,13,11,10,0.658
stolfi_inspired_signature,50,standard,8,4,3,0.563
stolfi_inspired_signature,50,loose,15,10,7,0.566
