lens,role_unit_key,induction_resolutions,induction_agree_count,mean_induced_cluster_purity,induction_high_purity_agree_count,induction_majority_agrees,induction_all_agree
broad_shape,OG|y,4,4,0.714,3,True,True
broad_shape,O|dy,4,3,0.624,2,True,False
broad_shape,X|NONE,4,3,0.53,1,True,False
broad_shape,X|y,4,2,0.55,1,True,False
conservative_morphology,o|dy|O,4,2,0.466,1,True,False
stolfi_inspired_signature,G_k|S_EGY|T_y,4,0,0.548,0,False,False
stolfi_inspired_signature,G_k|S_OL|T_r,4,1,0.379,0,False,False
stolfi_inspired_signature,NG|S_BY|T_y,4,3,0.558,3,True,False
stolfi_inspired_signature,NG|S_EY|T_ey,4,4,0.8,4,True,True
stolfi_inspired_signature,NG|S_EY|T_y,4,4,0.8,4,True,True
stolfi_inspired_signature,NG|S_OEL|T_in,4,4,0.425,1,True,True
stolfi_inspired_signature,NG|S_XY|T_y,4,3,0.501,0,True,False
stolfi_inspired_signature,NG|S_X|T_NONE,4,2,0.514,0,True,False
surface_token,ar,4,4,0.891,4,True,True
surface_token,chor,4,1,0.784,1,False,False
surface_token,dain,4,4,1.0,4,True,True
surface_token,dal,4,2,0.474,1,True,False
surface_token,dar,4,4,0.946,4,True,True
surface_token,okaiin,4,2,0.561,1,True,False
surface_token,okain,4,2,0.644,1,True,False
surface_token,okal,4,2,0.578,2,True,False
surface_token,okar,4,0,0.578,0,False,False
surface_token,okeey,4,1,0.59,1,False,False
surface_token,oky,4,1,0.536,0,False,False
surface_token,or,4,4,0.891,4,True,True
surface_token,s,4,4,0.696,4,True,True
surface_token,sheey,4,4,0.934,4,True,True
surface_token,shey,4,4,0.934,4,True,True
surface_token,y,4,4,0.696,4,True,True
