lens,loc,folio,line_order,token_position,token,role,module,status,meta_I,meta_L,meta_H,line_marker_family,stratum_I_L_H_marker,pass20_tier,frame_prefix,morph_body,terminal_class,shape_body,shape_remainder,gallows_signature,role_unit_key
surface_token,"f1r.3,+P0",f1r,3,1,syaiir,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,S1_MULTI_TRANSCRIPTION_STRICT_CORE,s,yaii,r,YOI,YOIL,NONE,syaiir
surface_token,"f1r.3,+P0",f1r,3,2,sheky,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,S1_MULTI_TRANSCRIPTION_STRICT_CORE,sh,ek,y,EG,EGY,k,sheky
surface_token,"f1r.3,+P0",f1r,3,3,or,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,S1_MULTI_TRANSCRIPTION_STRICT_CORE,NONE,o,r,O,OL,NONE,or
surface_token,"f1r.3,+P0",f1r,3,4,ykaiin,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,S1_MULTI_TRANSCRIPTION_STRICT_CORE,y,k,aiin,G,GOIL,k,ykaiin
surface_token,"f1r.3,+P0",f1r,3,5,shod,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,S1_MULTI_TRANSCRIPTION_STRICT_CORE,sh,od,NONE,OD,OD,NONE,shod
surface_token,"f1r.3,+P0",f1r,3,6,cthoary,R04,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,S1_MULTI_TRANSCRIPTION_STRICT_CORE,NONE,cthoar,y,XGXOL,XGXOLY,t,cthoary
surface_token,"f1r.3,+P0",f1r,3,7,cthes,R04,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,S1_MULTI_TRANSCRIPTION_STRICT_CORE,NONE,cthes,NONE,XGXEX,XGXEX,t,cthes
surface_token,"f1r.3,+P0",f1r,3,8,daraiin,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,S1_MULTI_TRANSCRIPTION_STRICT_CORE,d,ar,aiin,OL,OLOIL,NONE,daraiin
surface_token,"f1r.3,+P0",f1r,3,9,sy,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,S1_MULTI_TRANSCRIPTION_STRICT_CORE,NONE,s,y,X,XY,NONE,sy
surface_token,"f1r.5,+P0",f1r,5,1,sairy,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,S1_MULTI_TRANSCRIPTION_STRICT_CORE,s,air,y,OEL,OELY,NONE,sairy
surface_token,"f1r.5,+P0",f1r,5,2,chear,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,S1_MULTI_TRANSCRIPTION_STRICT_CORE,ch,e,ar,E,EOL,NONE,chear
surface_token,"f1r.5,+P0",f1r,5,3,cthaiin,R04,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,S1_MULTI_TRANSCRIPTION_STRICT_CORE,NONE,cth,aiin,XGX,XGXOIL,t,cthaiin
surface_token,"f1r.5,+P0",f1r,5,4,cphar,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,S1_MULTI_TRANSCRIPTION_STRICT_CORE,NONE,cph,ar,XGX,XGXOL,p,cphar
surface_token,"f1r.5,+P0",f1r,5,5,cfhaiin,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,S1_MULTI_TRANSCRIPTION_STRICT_CORE,NONE,cfh,aiin,XGX,XGXOIL,f,cfhaiin
surface_token,"f1r.6,=Pt",f1r,6,1,ydaraishy,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_terminal_or_label,T|A|1|paragraph_terminal_or_label,S1_MULTI_TRANSCRIPTION_STRICT_CORE,y,daraish,y,DOLOEB,DOLOEBY,NONE,ydaraishy
surface_token,"f1r.8,+P0",f1r,8,1,yshey,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,S1_MULTI_TRANSCRIPTION_STRICT_CORE,y,sh,ey,B,BEY,NONE,yshey
surface_token,"f1r.8,+P0",f1r,8,2,shody,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,S1_MULTI_TRANSCRIPTION_STRICT_CORE,sh,o,dy,O,ODY,NONE,shody
surface_token,"f1r.8,+P0",f1r,8,3,okchoy,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,S1_MULTI_TRANSCRIPTION_STRICT_CORE,ok,cho,y,BO,BOY,k,okchoy
surface_token,"f1r.8,+P0",f1r,8,4,otchol,R07,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,S1_MULTI_TRANSCRIPTION_STRICT_CORE,ot,ch,ol,B,BOL,t,otchol
surface_token,"f1r.8,+P0",f1r,8,5,chocthy,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,S1_MULTI_TRANSCRIPTION_STRICT_CORE,ch,octh,y,OXGX,OXGXY,t,chocthy
surface_token,"f1r.8,+P0",f1r,8,6,oschy,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,S1_MULTI_TRANSCRIPTION_STRICT_CORE,o,sch,y,XB,XBY,NONE,oschy
surface_token,"f1r.8,+P0",f1r,8,7,dain,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,S1_MULTI_TRANSCRIPTION_STRICT_CORE,d,a,in,O,OEL,NONE,dain
surface_token,"f1r.8,+P0",f1r,8,8,chor,R11,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,S1_MULTI_TRANSCRIPTION_STRICT_CORE,ch,o,r,O,OL,NONE,chor
surface_token,"f1r.8,+P0",f1r,8,9,kos,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,S1_MULTI_TRANSCRIPTION_STRICT_CORE,NONE,kos,NONE,GOX,GOX,k,kos
surface_token,"f1r.10,=Pt",f1r,10,1,dain,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_terminal_or_label,T|A|1|paragraph_terminal_or_label,S1_MULTI_TRANSCRIPTION_STRICT_CORE,d,a,in,O,OEL,NONE,dain
surface_token,"f1r.10,=Pt",f1r,10,2,os,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_terminal_or_label,T|A|1|paragraph_terminal_or_label,S1_MULTI_TRANSCRIPTION_STRICT_CORE,NONE,os,NONE,OX,OX,NONE,os
surface_token,"f1r.10,=Pt",f1r,10,3,teody,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_terminal_or_label,T|A|1|paragraph_terminal_or_label,S1_MULTI_TRANSCRIPTION_STRICT_CORE,NONE,teo,dy,GEO,GEODY,t,teody
surface_token,"f1r.20,+P0",f1r,20,1,shok,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,S1_MULTI_TRANSCRIPTION_STRICT_CORE,sh,ok,NONE,OG,OG,k,shok
surface_token,"f1r.20,+P0",f1r,20,2,chor,R11,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,S1_MULTI_TRANSCRIPTION_STRICT_CORE,ch,o,r,O,OL,NONE,chor
surface_token,"f1r.20,+P0",f1r,20,3,chey,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,S1_MULTI_TRANSCRIPTION_STRICT_CORE,ch,e,y,E,EY,NONE,chey
surface_token,"f1r.20,+P0",f1r,20,4,dain,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,S1_MULTI_TRANSCRIPTION_STRICT_CORE,d,a,in,O,OEL,NONE,dain
surface_token,"f1r.20,+P0",f1r,20,5,ckhey,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,S1_MULTI_TRANSCRIPTION_STRICT_CORE,NONE,ckh,ey,XGX,XGXEY,k,ckhey
surface_token,"f1r.28,=Pt",f1r,28,1,dchaiin,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_terminal_or_label,T|A|1|paragraph_terminal_or_label,S1_MULTI_TRANSCRIPTION_STRICT_CORE,d,ch,aiin,B,BOIL,NONE,dchaiin
surface_token,"f1v.2,+P0",f1v,30,1,yteey,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,y,t,eey,G,GEY,t,yteey
surface_token,"f1v.2,+P0",f1v,30,2,char,R11,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,ch,a,r,O,OL,NONE,char
surface_token,"f1v.2,+P0",f1v,30,3,or,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,NONE,o,r,O,OL,NONE,or
surface_token,"f1v.2,+P0",f1v,30,4,ochy,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,o,ch,y,B,BY,NONE,ochy
surface_token,"f1v.2,+P0",f1v,30,5,dcho,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,d,cho,NONE,BO,BO,NONE,dcho
surface_token,"f1v.2,+P0",f1v,30,6,lkody,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,NONE,lko,dy,LGO,LGODY,k,lkody
surface_token,"f1v.2,+P0",f1v,30,7,okodar,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,ok,od,ar,OD,ODOL,k,okodar
surface_token,"f1v.2,+P0",f1v,30,8,chody,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,ch,o,dy,O,ODY,NONE,chody
surface_token,"f1v.3,+P0",f1v,31,1,dackhy,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,H,A,1,paragraph_continuation,H|A|1|paragraph_continuation,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,d,ackh,y,OXGX,OXGXY,k,dackhy
