lens,section_I,role_unit_key,dominant_role,occurrences,distinct_lines,distinct_token_types,strata_total,marker_families,dominant_role_share,within_section_stratified_purity,within_section_meta_risk,section_local_supported,section_local_probable,top_tokens,globally_standard_supported,globally_loose_supported
broad_shape,H,X|NONE,R06,27,27,2,4,3,0.926,0.926,0.926,True,True,"s, g",True,True
broad_shape,H,X|y,R06,18,18,2,3,2,1.0,1.0,0.833,True,True,"shy, sy",True,True
stolfi_inspired_signature,H,NG|S_X|T_NONE,R06,27,27,2,4,3,0.926,0.926,0.926,True,True,"s, g",True,True
stolfi_inspired_signature,H,NG|S_OEL|T_in,R06,18,18,4,4,3,0.944,0.944,0.889,True,True,"dain, shain, ain, chain",True,True
stolfi_inspired_signature,H,NG|S_XY|T_y,R06,18,18,2,3,2,1.0,1.0,0.833,True,True,"shy, sy",True,True
surface_token,H,daiin,R10,78,67,1,4,3,1.0,1.0,0.936,True,True,daiin,False,True
surface_token,H,s,R06,25,25,1,4,3,1.0,1.0,0.92,True,True,s,True,True
surface_token,H,or,R06,21,19,1,5,2,1.0,1.0,0.905,True,True,or,True,True
broad_shape,H,E|y,R06,21,20,5,3,2,0.81,0.81,0.81,False,True,"shey, chey, qokey, okey, otey",False,False
conservative_morphology,H,e|y|E,R06,21,20,5,3,2,0.81,0.81,0.81,False,True,"shey, chey, qokey, okey, otey",False,False
conservative_morphology,H,o|dy|O,R00,21,21,5,4,2,0.81,0.81,0.952,False,True,"chody, shody, qokody, qotody, otody",True,True
stolfi_inspired_signature,S,NG|S_EY|T_y,R06,46,41,2,4,2,1.0,1.0,0.957,False,True,"chey, shey",True,True
stolfi_inspired_signature,H,NG|S_BY|T_y,R00,21,20,6,3,2,0.81,0.81,0.952,False,True,"chy, dchy, dshy, orshy, ochy, olchy",True,True
stolfi_inspired_signature,H,NG|S_EY|T_y,R06,17,16,2,3,2,1.0,1.0,0.765,False,True,"shey, chey",True,True
stolfi_inspired_signature,T,NG|S_OL|T_r,R06,16,15,7,5,3,0.812,0.875,0.875,False,True,"or, dar, chor, ar, sor, oror",False,False
surface_token,H,chor,R11,36,35,1,4,3,1.0,1.0,0.972,False,True,chor,True,True
surface_token,H,aiin,R06,15,14,1,3,2,1.0,1.0,0.933,False,True,aiin,False,True
