loc,folio,line_order,token_position,token,role,module,status,meta_I,meta_L,meta_H,line_marker_family,stratum_I_L_H_marker,semantic_function,pass20_tier,frame_prefix,morph_body,terminal_class,shape_body,shape_remainder,gallows_signature,has_gallows,conservative_family_key,broad_shape_family_key,stolfi_signature_key,full_terminal_class,full_body_shape,surface_token_key
"f1r.3,+P0",f1r,3,1,syaiir,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE,s,yaii,r,YOI,YOIL,NONE,0,yaii|r|YOI,YOI|r,NG|S_YOIL|T_r,r,XYOI,syaiir
"f1r.3,+P0",f1r,3,2,sheky,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE,sh,ek,y,EG,EGY,k,1,ek|y|EG,EG|y,G_k|S_EGY|T_y,y,BEG,sheky
"f1r.3,+P0",f1r,3,3,or,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE,NONE,o,r,O,OL,NONE,0,o|r|O,O|r,NG|S_OL|T_r,r,O,or
"f1r.3,+P0",f1r,3,4,ykaiin,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE,y,k,aiin,G,GOIL,k,1,k|aiin|G,G|aiin,G_k|S_GOIL|T_aiin,aiin,YG,ykaiin
"f1r.3,+P0",f1r,3,5,shod,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE,sh,od,NONE,OD,OD,NONE,0,od|NONE|OD,OD|NONE,NG|S_OD|T_NONE,NONE,BOD,shod
"f1r.3,+P0",f1r,3,6,cthoary,R04,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE,NONE,cthoar,y,XGXOL,XGXOLY,t,1,cthoar|y|XGXOL,XGXOL|y,G_t|S_XGXOLY|T_y,y,XGXOL,cthoary
"f1r.3,+P0",f1r,3,7,cthes,R04,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE,NONE,cthes,NONE,XGXEX,XGXEX,t,1,cthes|NONE|XGXEX,XGXEX|NONE,G_t|S_XGXEX|T_NONE,NONE,XGXEX,cthes
"f1r.3,+P0",f1r,3,8,daraiin,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE,d,ar,aiin,OL,OLOIL,NONE,0,ar|aiin|OL,OL|aiin,NG|S_OLOIL|T_aiin,aiin,DOL,daraiin
"f1r.3,+P0",f1r,3,9,sy,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE,NONE,s,y,X,XY,NONE,0,s|y|X,X|y,NG|S_XY|T_y,y,X,sy
"f1r.5,+P0",f1r,5,1,sairy,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE,s,air,y,OEL,OELY,NONE,0,air|y|OEL,OEL|y,NG|S_OELY|T_y,y,XOEL,sairy
"f1r.5,+P0",f1r,5,2,chear,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE,ch,e,ar,E,EOL,NONE,0,e|ar|E,E|ar,NG|S_EOL|T_ar,ar,BE,chear
"f1r.5,+P0",f1r,5,3,cthaiin,R04,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE,NONE,cth,aiin,XGX,XGXOIL,t,1,cth|aiin|XGX,XGX|aiin,G_t|S_XGXOIL|T_aiin,aiin,XGX,cthaiin
"f1r.5,+P0",f1r,5,4,cphar,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE,NONE,cph,ar,XGX,XGXOL,p,1,cph|ar|XGX,XGX|ar,G_p|S_XGXOL|T_ar,ar,XGX,cphar
"f1r.5,+P0",f1r,5,5,cfhaiin,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE,NONE,cfh,aiin,XGX,XGXOIL,f,1,cfh|aiin|XGX,XGX|aiin,G_f|S_XGXOIL|T_aiin,aiin,XGX,cfhaiin
"f1r.6,=Pt",f1r,6,1,ydaraishy,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_terminal_or_label,T|A|1|paragraph_terminal_or_label,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE,y,daraish,y,DOLOEB,DOLOEBY,NONE,0,daraish|y|DOLOEB,DOLOEB|y,NG|S_DOLOEBY|T_y,y,YDOLOEB,ydaraishy
"f1r.8,+P0",f1r,8,1,yshey,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE,y,sh,ey,B,BEY,NONE,0,sh|ey|B,B|ey,NG|S_BEY|T_ey,ey,YB,yshey
"f1r.8,+P0",f1r,8,2,shody,R06,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,T,A,1,paragraph_continuation,T|A|1|paragraph_continuation,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE,sh,o,dy,O,ODY,NONE,0,o|dy|O,O|dy,NG|S_ODY|T_dy,dy,BO,shody
