loc,folio,line_order,token_position,token,role,module,status,meta_I,meta_L,meta_H,line_marker_family,stratum_I_L_H_marker,semantic_function,pass20_tier,frame_prefix,morph_body,terminal_class,shape_body,shape_remainder,gallows_signature,has_gallows,conservative_family_key,broad_shape_family_key,stolfi_signature_key,full_terminal_class,full_body_shape,surface_token_key,line_len,rel_pos,pos_bin,line_len_bin,prev_token,next_token,prev_terminal_class,next_terminal_class,prev_shape_remainder,next_shape_remainder,prev_frame_prefix,next_frame_prefix,prev_broad_shape_family_key,next_broad_shape_family_key,prev_stolfi_signature_key,next_stolfi_signature_key,prev_conservative_family_key,next_conservative_family_key
"f100r.1,@Lf",f100r,4103,1,chosaroshol,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,P,A,1,label_or_marginal,P|A|1|label_or_marginal,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE,ch,osarosh,ol,OXOLOB,OXOLOBOL,NONE,0,osarosh|ol|OXOLOB,OXOLOB|ol,NG|S_OXOLOBOL|T_ol,ol,BOXOLOB,chosaroshol,1,1.0,single,short,BOL,EOL,BOL,EOL,BOL,EOL,BOL,EOL,BOL,EOL,BOL,EOL,BOL,EOL
"f100r.16,@Lf",f100r,4118,1,okeeos,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,P,A,1,label_or_marginal,P|A|1|label_or_marginal,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE,ok,eeos,NONE,EOX,EOX,k,1,eeos|NONE|EOX,EOX|NONE,G_k|S_EOX|T_NONE,NONE,OGEOX,okeeos,1,1.0,single,short,BOL,EOL,BOL,EOL,BOL,EOL,BOL,EOL,BOL,EOL,BOL,EOL,BOL,EOL
"f100r.17,@Lf",f100r,4119,1,shockhey,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,P,A,1,label_or_marginal,P|A|1|label_or_marginal,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE,sh,ockh,ey,OXGX,OXGXEY,k,1,ockh|ey|OXGX,OXGX|ey,G_k|S_OXGXEY|T_ey,ey,BOXGX,shockhey,1,1.0,single,short,BOL,EOL,BOL,EOL,BOL,EOL,BOL,EOL,BOL,EOL,BOL,EOL,BOL,EOL
"f100r.18,@Lf",f100r,4120,1,orol,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,P,A,1,label_or_marginal,P|A|1|label_or_marginal,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE,or,o,l,O,OL,NONE,0,o|l|O,O|l,NG|S_OL|T_l,ol,OL,orol,1,1.0,single,short,BOL,EOL,BOL,EOL,BOL,EOL,BOL,EOL,BOL,EOL,BOL,EOL,BOL,EOL
"f100r.19,@Lf",f100r,4121,1,olcheom,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,P,A,1,label_or_marginal,P|A|1|label_or_marginal,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE,ol,cheo,m,BEO,BEOL,NONE,0,cheo|m|BEO,BEO|m,NG|S_BEOL|T_m,m,OLBEO,olcheom,1,1.0,single,short,BOL,EOL,BOL,EOL,BOL,EOL,BOL,EOL,BOL,EOL,BOL,EOL,BOL,EOL
"f100r.2,@Lf",f100r,4104,1,sochorcfhy,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,P,A,1,label_or_marginal,P|A|1|label_or_marginal,compact label / index / list entry,S1_MULTI_TRANSCRIPTION_STRICT_CORE,s,ochorcfh,y,OBOLXGX,OBOLXGXY,f,1,ochorcfh|y|OBOLXGX,OBOLXGX|y,G_f|S_OBOLXGXY|T_y,y,XOBOLXGX,sochorcfhy,1,1.0,single,short,BOL,EOL,BOL,EOL,BOL,EOL,BOL,EOL,BOL,EOL,BOL,EOL,BOL,EOL
"f100r.21,@Lf",f100r,4123,1,okols,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,P,A,1,label_or_marginal,P|A|1|label_or_marginal,compact label / index / list entry,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,ok,ols,NONE,OLX,OLX,k,1,ols|NONE|OLX,OLX|NONE,G_k|S_OLX|T_NONE,NONE,OGOLX,okols,1,1.0,single,short,BOL,EOL,BOL,EOL,BOL,EOL,BOL,EOL,BOL,EOL,BOL,EOL,BOL,EOL
"f100r.5,@Lf",f100r,4107,1,sarchar,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,P,A,1,label_or_marginal,P|A|1|label_or_marginal,compact label / index / list entry,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,s,arch,ar,OLB,OLBOL,NONE,0,arch|ar|OLB,OLB|ar,NG|S_OLBOL|T_ar,ar,XOLB,sarchar,2,0.5,first,short,BOL,daiindy,BOL,dy,BOL,OILDY,BOL,d,BOL,OIL|dy,BOL,NG|S_OILDY|T_dy,BOL,aiin|dy|OIL
"f100r.5,@Lf",f100r,4107,2,daiindy,R10,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,P,A,1,label_or_marginal,P|A|1|label_or_marginal,compact label / index / list entry,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,d,aiin,dy,OIL,OILDY,NONE,0,aiin|dy|OIL,OIL|dy,NG|S_OILDY|T_dy,dy,DOIL,daiindy,2,1.0,second,short,sarchar,EOL,ar,EOL,OLBOL,EOL,s,EOL,OLB|ar,EOL,NG|S_OLBOL|T_ar,EOL,arch|ar|OLB,EOL
"f100r.6,@Lf",f100r,4108,1,oaro,R00,G3C,FORMAL_G3C_NONFRAME_SHORTFORM_HP,P,A,1,label_or_marginal,P|A|1|label_or_marginal,compact label / index / list entry,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,o,aro,NONE,OLO,OLO,NONE,0,aro|NONE|OLO,OLO|NONE,NG|S_OLO|T_NONE,NONE,OLO,oaro,1,1.0,single,short,BOL,EOL,BOL,EOL,BOL,EOL,BOL,EOL,BOL,EOL,BOL,EOL,BOL,EOL
