lens,role_unit_key,dominant_role_full,occurrences_full,dominant_role_tier,occurrences_tier,distinct_lines,dominant_role_share,supported_loose,supported_standard,tier,seen_in_tier,same_dominant_role
surface_token,ar,R06,58,R06,41,38,1.0,True,True,S1_MULTI_TRANSCRIPTION_STRICT_CORE,True,True
surface_token,dar,R06,49,R06,25,25,1.0,True,True,S1_MULTI_TRANSCRIPTION_STRICT_CORE,True,True
surface_token,chor,R11,48,R11,37,36,1.0,True,True,S1_MULTI_TRANSCRIPTION_STRICT_CORE,True,True
surface_token,dain,R06,48,R06,33,30,1.0,True,False,S1_MULTI_TRANSCRIPTION_STRICT_CORE,True,True
surface_token,or,R06,48,R06,37,35,1.0,True,False,S1_MULTI_TRANSCRIPTION_STRICT_CORE,True,True
surface_token,shey,R06,48,R06,26,25,1.0,True,False,S1_MULTI_TRANSCRIPTION_STRICT_CORE,True,True
surface_token,okaiin,R10,42,R10,29,28,1.0,True,True,S1_MULTI_TRANSCRIPTION_STRICT_CORE,True,True
surface_token,s,R06,39,R06,28,28,1.0,True,True,S1_MULTI_TRANSCRIPTION_STRICT_CORE,True,True
surface_token,dal,R09,37,R09,24,23,1.0,True,False,S1_MULTI_TRANSCRIPTION_STRICT_CORE,True,True
surface_token,okeey,R06,37,R06,27,26,1.0,True,True,S1_MULTI_TRANSCRIPTION_STRICT_CORE,True,True
surface_token,okain,R10,36,R10,27,25,1.0,True,True,S1_MULTI_TRANSCRIPTION_STRICT_CORE,True,True
surface_token,okal,R07,36,R07,22,22,1.0,True,False,S1_MULTI_TRANSCRIPTION_STRICT_CORE,True,True
surface_token,oky,R00,29,R00,21,21,1.0,True,False,S1_MULTI_TRANSCRIPTION_STRICT_CORE,True,True
surface_token,sheey,R06,29,R06,19,18,1.0,True,False,S1_MULTI_TRANSCRIPTION_STRICT_CORE,True,True
surface_token,okar,R03,27,R03,17,16,1.0,False,False,S1_MULTI_TRANSCRIPTION_STRICT_CORE,True,True
surface_token,y,R06,25,R06,17,17,1.0,False,False,S1_MULTI_TRANSCRIPTION_STRICT_CORE,True,True
conservative_morphology,o|dy|O,R00,41,R00,31,31,0.871,True,True,S1_MULTI_TRANSCRIPTION_STRICT_CORE,True,True
broad_shape,X|NONE,R06,46,R06,33,33,0.848,True,True,S1_MULTI_TRANSCRIPTION_STRICT_CORE,True,True
broad_shape,O|dy,R00,43,R00,33,33,0.848,True,True,S1_MULTI_TRANSCRIPTION_STRICT_CORE,True,True
broad_shape,X|y,R06,30,R06,20,20,0.95,True,False,S1_MULTI_TRANSCRIPTION_STRICT_CORE,True,True
broad_shape,OG|y,R00,26,R00,22,21,0.909,True,False,S1_MULTI_TRANSCRIPTION_STRICT_CORE,True,True
stolfi_inspired_signature,NG|S_EY|T_y,R06,104,R06,66,59,0.985,False,False,S1_MULTI_TRANSCRIPTION_STRICT_CORE,True,True
stolfi_inspired_signature,NG|S_OEL|T_in,R06,93,R06,66,58,0.879,True,False,S1_MULTI_TRANSCRIPTION_STRICT_CORE,True,True
stolfi_inspired_signature,G_k|S_OL|T_r,R03,68,R03,46,41,0.804,True,True,S1_MULTI_TRANSCRIPTION_STRICT_CORE,True,True
stolfi_inspired_signature,NG|S_EY|T_ey,R06,63,R06,41,39,0.927,True,True,S1_MULTI_TRANSCRIPTION_STRICT_CORE,True,True
stolfi_inspired_signature,NG|S_X|T_NONE,R06,46,R06,33,33,0.848,True,True,S1_MULTI_TRANSCRIPTION_STRICT_CORE,True,True
stolfi_inspired_signature,NG|S_BY|T_y,R00,33,R00,20,19,0.85,False,False,S1_MULTI_TRANSCRIPTION_STRICT_CORE,True,True
stolfi_inspired_signature,NG|S_XY|T_y,R06,30,R06,20,20,0.95,True,False,S1_MULTI_TRANSCRIPTION_STRICT_CORE,True,True
stolfi_inspired_signature,G_k|S_EGY|T_y,R06,28,R06,16,16,0.875,False,False,S1_MULTI_TRANSCRIPTION_STRICT_CORE,True,True
surface_token,ar,R06,58,R06,17,14,1.0,False,False,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,True,True
surface_token,dar,R06,49,R06,24,22,1.0,True,False,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,True,True
surface_token,chor,R11,48,R11,11,11,1.0,False,False,S2_STRONG_BUT_PARTIAL_TRANSCRIPTION_CORE,True,True
