tier,lens,role_unit_key,dominant_role,occurrences,distinct_lines,distinct_token_types,status_standard,dominant_role_share,stratified_role_purity,metadata_concentration_risk_max_share,top_tokens
low_reliability_or_unlikely,surface_token,chey,R06,54,50,1,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,1.0,1.0,0.963,chey
low_reliability_or_unlikely,surface_token,lchedy,R00,27,27,1,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,1.0,1.0,1.0,lchedy
low_reliability_or_unlikely,surface_token,cheey,R06,25,24,1,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,1.0,1.0,0.92,cheey
low_reliability_or_unlikely,surface_token,chy,R00,21,20,1,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,1.0,1.0,0.857,chy
low_reliability_or_unlikely,surface_token,shy,R06,21,20,1,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,1.0,1.0,0.619,shy
low_reliability_or_unlikely,surface_token,sain,R06,20,20,1,STABLE_BUT_LOCAL_OR_THRESHOLD_SENSITIVE,1.0,1.0,1.0,sain
low_reliability_or_unlikely,surface_token,chody,R00,18,18,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,0.889,chody
low_reliability_or_unlikely,surface_token,o,R00,14,14,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,0.571,o
low_reliability_or_unlikely,surface_token,sar,R06,14,14,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,0.786,sar
low_reliability_or_unlikely,surface_token,shckhy,R06,14,14,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,1.0,shckhy
low_reliability_or_unlikely,surface_token,cheor,R00,13,13,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,0.923,cheor
low_reliability_or_unlikely,surface_token,otar,R01,13,13,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,1.0,otar
low_reliability_or_unlikely,surface_token,oteey,R01,13,12,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,0.923,oteey
low_reliability_or_unlikely,surface_token,raiin,R00,13,13,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,1.0,raiin
low_reliability_or_unlikely,surface_token,ain,R06,12,11,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,0.75,ain
low_reliability_or_unlikely,surface_token,chal,R00,12,12,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,0.917,chal
low_reliability_or_unlikely,surface_token,char,R11,12,12,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,0.75,char
low_reliability_or_unlikely,surface_token,chear,R00,12,11,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,1.0,chear
low_reliability_or_unlikely,surface_token,cho,R00,12,12,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,0.917,cho
low_reliability_or_unlikely,surface_token,choky,R00,12,11,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,0.917,choky
low_reliability_or_unlikely,surface_token,cthor,R04,12,12,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,1.0,cthor
low_reliability_or_unlikely,surface_token,dary,R06,12,12,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,0.583,dary
low_reliability_or_unlikely,surface_token,dor,R06,12,12,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,0.917,dor
low_reliability_or_unlikely,surface_token,lkeedy,R00,12,12,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,1.0,lkeedy
low_reliability_or_unlikely,surface_token,okeody,R00,12,12,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,0.583,okeody
low_reliability_or_unlikely,surface_token,okey,R00,12,12,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,0.833,okey
low_reliability_or_unlikely,surface_token,otor,R00,12,11,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,0.667,otor
low_reliability_or_unlikely,surface_token,qotaiin,H13,12,12,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,0.917,qotaiin
low_reliability_or_unlikely,surface_token,qotal,H13,12,12,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,1.0,qotal
low_reliability_or_unlikely,surface_token,r,R00,12,12,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,0.583,r
low_reliability_or_unlikely,surface_token,am,R06,11,11,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,0.818,am
low_reliability_or_unlikely,surface_token,cheedy,R06,11,11,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,1.0,cheedy
low_reliability_or_unlikely,surface_token,cthey,R04,11,11,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,1.0,cthey
low_reliability_or_unlikely,surface_token,dair,R06,11,11,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,0.818,dair
low_reliability_or_unlikely,surface_token,lkain,R00,11,10,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,1.0,lkain
low_reliability_or_unlikely,surface_token,lor,R00,11,11,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,1.0,lor
low_reliability_or_unlikely,surface_token,lshedy,R00,11,11,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,1.0,lshedy
low_reliability_or_unlikely,surface_token,olkeedy,R00,11,11,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,1.0,olkeedy
low_reliability_or_unlikely,surface_token,oty,R01,11,11,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,1.0,oty
low_reliability_or_unlikely,surface_token,qotchy,H13,11,11,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,0.909,qotchy
low_reliability_or_unlikely,surface_token,sal,R06,11,11,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,0.727,sal
low_reliability_or_unlikely,surface_token,shor,R06,11,11,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,0.818,shor
low_reliability_or_unlikely,surface_token,ykaiin,R06,11,11,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,1.0,ykaiin
low_reliability_or_unlikely,surface_token,chodaiin,R00,10,9,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,0.9,chodaiin
low_reliability_or_unlikely,surface_token,dshedy,R06,10,10,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,1.0,dshedy
low_reliability_or_unlikely,surface_token,lol,R00,10,10,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,1.0,lol
low_reliability_or_unlikely,surface_token,otey,R01,10,10,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,1.0,otey
low_reliability_or_unlikely,surface_token,qokchy,H08,10,10,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,0.9,qokchy
low_reliability_or_unlikely,surface_token,qotar,H13,10,10,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,1.0,qotar
low_reliability_or_unlikely,surface_token,shdy,R06,10,10,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,1.0,shdy
low_reliability_or_unlikely,surface_token,sor,R06,10,10,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,0.9,sor
low_reliability_or_unlikely,surface_token,tedy,R06,10,9,1,CONTEXTUAL_ROLE_SIGNAL,1.0,1.0,1.0,tedy
low_reliability_or_unlikely,surface_token,chaiin,R00,9,8,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,chaiin
low_reliability_or_unlikely,surface_token,ckhy,R00,9,9,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,ckhy
low_reliability_or_unlikely,surface_token,kar,R06,9,9,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.889,kar
low_reliability_or_unlikely,surface_token,lkaiin,R00,9,9,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,lkaiin
low_reliability_or_unlikely,surface_token,lkeey,R00,9,9,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,1.0,lkeey
low_reliability_or_unlikely,surface_token,odaiin,R10,9,9,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.778,odaiin
low_reliability_or_unlikely,surface_token,okchy,R00,9,9,1,LOW_POWER_OR_UNSTABLE,1.0,1.0,0.667,okchy
