tier,scope_type,scope_value,lens,role_unit_key,dominant_role,occurrences,distinct_lines,distinct_token_types,strata_total,section_count,dominant_role_share,within_scope_purity,remaining_metadata_risk,induction_agree_count,induction_resolutions,new_occurrences_after_higher_tiers,top_tokens
reliable_conditioned,meta_L,B,surface_token,shedy,R06,95,83,1,11,5,1.0,1.0,0.947,,,95,shedy
reliable_conditioned,meta_L,B,surface_token,chedy,R02,94,82,1,9,4,1.0,1.0,0.957,,,94,chedy
reliable_conditioned,meta_L,B,surface_token,qokedy,H12,89,73,1,11,5,1.0,1.0,0.966,,,89,qokedy
reliable_conditioned,meta_L,A,surface_token,daiin,R10,81,69,1,5,3,1.0,1.0,0.963,,,81,daiin
reliable_conditioned,meta_L,B,surface_token,qokeey,H08,66,56,1,7,5,1.0,1.0,0.939,,,66,qokeey
reliable_conditioned,meta_L,B,broad_shape,LB|edy,R00,44,42,6,6,4,1.0,1.0,0.955,,,44,"lchedy, lshedy, qolchedy, rchedy, qorchedy, rshedy"
reliable_conditioned,meta_L,B,surface_token,qokaiin,H08,37,36,1,7,5,1.0,1.0,0.946,,,37,qokaiin
reliable_conditioned,meta_L,B,surface_token,okedy,R00,33,29,1,7,5,1.0,1.0,0.909,,,33,okedy
reliable_conditioned,meta_L,B,surface_token,okeedy,R00,32,30,1,4,3,1.0,1.0,0.938,,,32,okeedy
reliable_conditioned,meta_L,B,surface_token,otedy,R01,30,28,1,6,4,1.0,1.0,0.933,,,30,otedy
reliable_conditioned,meta_L,B,surface_token,saiin,R06,28,28,1,6,4,1.0,1.0,0.964,,,28,saiin
reliable_conditioned,meta_L,B,surface_token,qokar,R03,26,24,1,6,4,1.0,1.0,0.962,,,26,qokar
reliable_conditioned,meta_L,B,surface_token,chdy,R02,25,24,1,9,5,1.0,1.0,0.96,,,25,chdy
