scope_name,scope_type,scope_value,lens,role_unit_key,dominant_role,occurrences,distinct_lines,distinct_token_types,dominant_role_share,section_count,currier_count,hand_count,marker_count,top_tokens,induction_votes,loose_induction_votes,mean_induction_match,mean_induction_cluster_purity,induction_detail,tier,new_occurrences_after_higher_tiers,reason_not_promoted
global,global,global,surface_token,daiin,R10,134,116,1,1.0,7,3,6,5,daiin,1,1,0.139,0.517,16:0.000/0.461 24:0.000/0.480 32:0.000/0.449 48:0.000/0.461 64:0.694/0.733,good_but_not_reliable_enough,53,induction support below reliable threshold
line_marker,line_marker_family,paragraph_continuation,surface_token,daiin,R10,126,108,1,1.0,7,3,6,1,daiin,1,1,0.135,0.518,16:0.000/0.464 24:0.000/0.481 32:0.000/0.454 48:0.000/0.460 64:0.675/0.733,good_but_not_reliable_enough,50,"induction support below reliable threshold, narrow compound scope"
global,global,global,broad_shape,EXGX|y,R00,25,25,8,0.96,6,3,4,2,"checkhy, sheckhy, checthy, shecthy, sheeckhy, cheecthy, eeckhy, oeecthy",0,5,0.92,0.427,16:0.960/0.415 24:0.960/0.423 32:0.920/0.425 48:0.880/0.435 64:0.880/0.439,good_but_not_reliable_enough,25,induction support below reliable threshold
hand,meta_H,2,stolfi_inspired_signature,NG|S_OL|T_r,R06,82,64,13,0.915,4,1,1,3,"dar, or, ar, sar, sor, shor, oror, dor",5,5,0.82,0.476,16:0.963/0.460 24:0.817/0.477 32:0.829/0.481 48:0.829/0.494 64:0.659/0.466,good_but_not_reliable_enough,24,role purity below reliable threshold
currier_hand,currier_hand,B|2,stolfi_inspired_signature,NG|S_OL|T_r,R06,82,64,13,0.915,4,1,1,3,"dar, or, ar, sar, sor, shor, oror, dor",5,5,0.82,0.476,16:0.963/0.460 24:0.817/0.477 32:0.829/0.481 48:0.829/0.494 64:0.659/0.466,good_but_not_reliable_enough,24,"role purity below reliable threshold, narrow compound scope"
hand,meta_H,2,surface_token,daiin,R10,23,19,1,1.0,3,1,1,1,daiin,1,1,0.122,0.503,16:0.000/0.454 24:0.000/0.458 32:0.000/0.444 48:0.000/0.452 64:0.609/0.705,good_but_not_reliable_enough,23,induction support below reliable threshold
hand,meta_H,2,surface_token,qokal,H08,23,21,1,1.0,3,1,1,1,qokal,1,1,0.478,0.401,16:0.348/0.344 24:0.609/0.471 32:0.304/0.432 48:0.478/0.378 64:0.652/0.380,good_but_not_reliable_enough,23,induction support below reliable threshold
line_marker,line_marker_family,paragraph_continuation,broad_shape,EXGX|y,R00,23,23,6,1.0,5,2,3,1,"checkhy, sheckhy, checthy, shecthy, sheeckhy, eeckhy",0,5,0.913,0.432,16:0.957/0.415 24:0.957/0.428 32:0.913/0.432 48:0.870/0.441 64:0.870/0.442,good_but_not_reliable_enough,23,"induction support below reliable threshold, narrow compound scope"
currier_hand,currier_hand,B|2,surface_token,daiin,R10,23,19,1,1.0,3,1,1,1,daiin,1,1,0.122,0.503,16:0.000/0.454 24:0.000/0.458 32:0.000/0.444 48:0.000/0.452 64:0.609/0.705,good_but_not_reliable_enough,23,"induction support below reliable threshold, narrow compound scope"
currier_hand,currier_hand,B|2,surface_token,qokal,H08,23,21,1,1.0,3,1,1,1,qokal,1,1,0.478,0.401,16:0.348/0.344 24:0.609/0.471 32:0.304/0.432 48:0.478/0.378 64:0.652/0.380,good_but_not_reliable_enough,23,"induction support below reliable threshold, narrow compound scope"
currier,meta_L,B,broad_shape,EXGX|y,R00,21,21,5,1.0,4,1,2,1,"checkhy, sheckhy, checthy, shecthy, sheeckhy",0,5,0.905,0.423,16:0.952/0.405 24:0.952/0.415 32:0.905/0.425 48:0.857/0.432 64:0.857/0.439,good_but_not_reliable_enough,21,induction support below reliable threshold
currier_marker,currier_marker,B|paragraph_continuation,broad_shape,EXGX|y,R00,21,21,5,1.0,4,1,2,1,"checkhy, sheckhy, checthy, shecthy, sheeckhy",0,5,0.905,0.423,16:0.952/0.405 24:0.952/0.415 32:0.905/0.425 48:0.857/0.432 64:0.857/0.439,good_but_not_reliable_enough,21,"induction support below reliable threshold, narrow compound scope"
