scope_name,lens,candidates,induction_supported,weak_induction_supported
currier,broad_shape,82,17,41
currier,conservative_morphology,58,13,25
currier,stolfi_inspired_signature,75,23,31
currier,surface_token,59,20,24
currier_hand,broad_shape,80,20,39
currier_hand,conservative_morphology,58,12,24
currier_hand,stolfi_inspired_signature,73,24,30
currier_hand,surface_token,59,20,23
currier_marker,broad_shape,68,12,30
currier_marker,conservative_morphology,53,10,24
currier_marker,stolfi_inspired_signature,66,17,25
currier_marker,surface_token,54,19,22
global,broad_shape,79,24,41
global,conservative_morphology,54,16,29
global,stolfi_inspired_signature,82,27,33
global,surface_token,72,23,28
hand,broad_shape,80,21,37
hand,conservative_morphology,62,15,26
hand,stolfi_inspired_signature,76,26,32
hand,surface_token,61,20,23
line_marker,broad_shape,69,11,31
line_marker,conservative_morphology,46,6,21
line_marker,stolfi_inspired_signature,74,18,28
line_marker,surface_token,62,19,22
section,broad_shape,74,16,37
section,conservative_morphology,59,17,26
section,stolfi_inspired_signature,71,27,29
section,surface_token,47,14,18
section_currier,broad_shape,73,12,34
section_currier,conservative_morphology,54,13,23
section_currier,stolfi_inspired_signature,62,23,25
section_currier,surface_token,38,9,12
section_hand,broad_shape,72,14,33
section_hand,conservative_morphology,56,16,25
section_hand,stolfi_inspired_signature,63,24,26
section_hand,surface_token,39,8,11
section_marker,broad_shape,59,9,27
section_marker,conservative_morphology,53,16,24
section_marker,stolfi_inspired_signature,63,22,24
section_marker,surface_token,42,11,15
