scope_name,scope_type,scope_value,lens,role_unit_key,dominant_role,occurrences,distinct_lines,distinct_token_types,dominant_role_share,section_count,currier_count,hand_count,marker_count,top_tokens,induction_votes,loose_induction_votes,mean_induction_match,mean_induction_cluster_purity,induction_detail,tier,reason
global,global,global,surface_token,aiin,R06,57,51,1,1.0,7,3,5,4,aiin,5,5,0.825,0.52,16:0.895/0.457 24:0.754/0.476 32:0.702/0.458 48:0.930/0.477 64:0.842/0.732,low_reliability_or_unlikely,does not meet good candidate thresholds
global,global,global,surface_token,al,R06,31,28,1,1.0,5,3,5,3,al,5,5,0.787,0.469,16:0.871/0.455 24:0.742/0.463 32:0.871/0.476 48:0.806/0.473 64:0.645/0.478,low_reliability_or_unlikely,does not meet good candidate thresholds
global,global,global,surface_token,ar,R06,58,52,1,1.0,7,3,5,4,ar,5,5,0.724,0.483,16:0.845/0.461 24:0.690/0.492 32:0.672/0.473 48:0.793/0.501 64:0.621/0.487,low_reliability_or_unlikely,does not meet good candidate thresholds
global,global,global,surface_token,chckhy,R00,41,39,1,1.0,5,2,3,1,chckhy,4,5,0.961,0.482,16:0.951/0.447 24:0.976/0.499 32:0.976/0.496 48:0.951/0.474 64:0.951/0.496,low_reliability_or_unlikely,does not meet good candidate thresholds
global,global,global,surface_token,chcthy,R04,16,15,1,1.0,4,2,3,1,chcthy,0,0,0.0,0.372,16:0.000/0.335 24:0.000/0.317 32:0.000/0.485 48:0.000/0.318 64:0.000/0.404,low_reliability_or_unlikely,does not meet good candidate thresholds
global,global,global,surface_token,chdy,R02,27,26,1,1.0,6,3,6,3,chdy,0,0,0.0,0.473,16:0.000/0.449 24:0.000/0.459 32:0.000/0.461 48:0.000/0.461 64:0.000/0.537,low_reliability_or_unlikely,does not meet good candidate thresholds
global,global,global,surface_token,chedy,R02,94,82,1,1.0,4,1,4,3,chedy,0,0,0.091,0.46,16:0.000/0.440 24:0.000/0.476 32:0.000/0.440 48:0.000/0.450 64:0.457/0.493,low_reliability_or_unlikely,does not meet good candidate thresholds
global,global,global,surface_token,cheey,R06,25,24,1,1.0,5,3,5,3,cheey,3,5,0.864,0.496,16:1.000/0.437 24:0.840/0.489 32:0.640/0.446 48:0.920/0.473 64:0.920/0.635,low_reliability_or_unlikely,does not meet good candidate thresholds
global,global,global,surface_token,cheky,R06,15,15,1,1.0,6,3,5,3,cheky,0,0,0.027,0.509,16:0.000/0.516 24:0.067/0.532 32:0.000/0.505 48:0.000/0.492 64:0.067/0.502,low_reliability_or_unlikely,does not meet good candidate thresholds
global,global,global,surface_token,cheody,R00,17,17,1,1.0,5,3,6,3,cheody,0,1,0.306,0.45,16:0.059/0.444 24:0.588/0.474 32:0.294/0.443 48:0.176/0.426 64:0.412/0.462,low_reliability_or_unlikely,does not meet good candidate thresholds
global,global,global,surface_token,cheol,R00,25,24,1,1.0,6,3,5,3,cheol,0,0,0.224,0.439,16:0.000/0.443 24:0.200/0.450 32:0.400/0.444 48:0.160/0.435 64:0.360/0.425,low_reliability_or_unlikely,does not meet good candidate thresholds
global,global,global,surface_token,chey,R06,54,50,1,1.0,5,2,4,2,chey,3,5,0.833,0.519,16:0.963/0.443 24:0.852/0.487 32:0.556/0.451 48:0.870/0.467 64:0.926/0.747,low_reliability_or_unlikely,does not meet good candidate thresholds
global,global,global,surface_token,chody,R00,18,18,1,1.0,5,2,4,3,chody,0,1,0.311,0.458,16:0.167/0.456 24:0.500/0.469 32:0.278/0.453 48:0.389/0.449 64:0.222/0.459,low_reliability_or_unlikely,does not meet good candidate thresholds
