occurrence_id,loc,folio,line_order,token_position,token,role,meta_I,meta_L,meta_H,line_marker_family,assigned_tier,assigned_lens,assigned_unit,assigned_scope,assigned_role
0,"f100r.1,@Lf",f100r,4103,1,chosaroshol,R00,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
1,"f100r.16,@Lf",f100r,4118,1,okeeos,R00,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
2,"f100r.17,@Lf",f100r,4119,1,shockhey,R00,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
3,"f100r.18,@Lf",f100r,4120,1,orol,R00,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
4,"f100r.19,@Lf",f100r,4121,1,olcheom,R00,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
5,"f100r.2,@Lf",f100r,4104,1,sochorcfhy,R00,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
6,"f100r.21,@Lf",f100r,4123,1,okols,R00,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
7,"f100r.5,@Lf",f100r,4107,1,sarchar,R00,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
8,"f100r.5,@Lf",f100r,4107,2,daiindy,R10,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
9,"f100r.6,@Lf",f100r,4108,1,oaro,R00,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
10,"f100r.7,@Lf",f100r,4109,1,chalsain,R00,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
11,"f100r.8,@Lf",f100r,4110,1,soity,R06,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
12,"f100r.9,@Lf",f100r,4111,1,sosam,R06,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
13,"f100v.1,@Lf",f100v,4130,1,tolchd,R06,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
14,"f100v.10,@Lf",f100v,4139,1,okcheor,R00,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
15,"f100v.11,@Lf",f100v,4140,1,ytchol,R06,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
16,"f100v.12,@Lf",f100v,4141,1,dykchal,R00,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
17,"f100v.17,+P0",f100v,4146,1,chockhey,R00,P,A,1,paragraph_continuation,low_reliability_or_unassigned,,,,
18,"f100v.17,+P0",f100v,4146,2,sholkcheol,R08,P,A,1,paragraph_continuation,low_reliability_or_unassigned,,,,
19,"f100v.17,+P0",f100v,4146,3,qokeol,H08,P,A,1,paragraph_continuation,low_reliability_or_unassigned,,,,
20,"f100v.17,+P0",f100v,4146,4,okol,R07,P,A,1,paragraph_continuation,low_reliability_or_unassigned,,,,
21,"f100v.17,+P0",f100v,4146,5,chol,R07,P,A,1,paragraph_continuation,low_reliability_or_unassigned,,,,
22,"f100v.17,+P0",f100v,4146,6,chotor,R00,P,A,1,paragraph_continuation,low_reliability_or_unassigned,,,,
23,"f100v.17,+P0",f100v,4146,7,chso,R00,P,A,1,paragraph_continuation,low_reliability_or_unassigned,,,,
24,"f100v.17,+P0",f100v,4146,8,solcthy,R00,P,A,1,paragraph_continuation,low_reliability_or_unassigned,,,,
25,"f100v.2,@Lf",f100v,4131,1,chols,R00,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
26,"f100v.3,@Lf",f100v,4132,1,opchor,R00,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
27,"f100v.4,@Lf",f100v,4133,1,solsy,R06,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
28,"f100v.5,@Lf",f100v,4134,1,soleesos,R00,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
29,"f100v.6,@Lf",f100v,4135,1,ykchochdy,R00,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
30,"f100v.7,@Lf",f100v,4136,1,ykchdy,R00,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
31,"f100v.8,@Lf",f100v,4137,1,dchdy,R06,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
32,"f100v.9,@Lf",f100v,4138,1,dalsy,R06,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
33,"f101v.10,@Lf",f101v,4171,1,okol,R07,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
34,"f101v.11,@Lf",f101v,4172,1,arom,R00,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
35,"f101v.12,@Lf",f101v,4173,1,oraram,R00,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
36,"f101v.13,@Lf",f101v,4174,1,oraeep,R00,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
37,"f101v.14,@Lf",f101v,4175,1,dytolg,R06,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
38,"f101v.15,@Lf",f101v,4176,1,olkor,R00,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
39,"f101v.16,@Lf",f101v,4177,1,dolary,R06,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
40,"f101v.17,@Lf",f101v,4178,1,odor,R00,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
41,"f101v.18,@Lf",f101v,4179,1,olaran,R00,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
42,"f101v.2,@Lf",f101v,4163,1,otaldy,R00,P,A,1,label_or_marginal,low_reliability_or_unassigned,,,,
43,"f101v.26,+P0",f101v,4187,1,olaiin,R10,P,A,1,paragraph_continuation,low_reliability_or_unassigned,,,,
44,"f101v.26,+P0",f101v,4187,2,okeol,R06,P,A,1,paragraph_continuation,low_reliability_or_unassigned,,,,
45,"f101v.26,+P0",f101v,4187,3,cheo,R00,P,A,1,paragraph_continuation,low_reliability_or_unassigned,,,,
46,"f101v.26,+P0",f101v,4187,4,kol,R06,P,A,1,paragraph_continuation,low_reliability_or_unassigned,,,,
47,"f101v.26,+P0",f101v,4187,5,ches,R00,P,A,1,paragraph_continuation,low_reliability_or_unassigned,,,,
48,"f101v.26,+P0",f101v,4187,6,sheey,R06,P,A,1,paragraph_continuation,reliable_global,stolfi_inspired_signature,NG|S_EY|T_ey,global=global,R06
49,"f101v.26,+P0",f101v,4187,7,qoor,H07,P,A,1,paragraph_continuation,low_reliability_or_unassigned,,,,
50,"f101v.26,+P0",f101v,4187,8,qokeody,H11,P,A,1,paragraph_continuation,low_reliability_or_unassigned,,,,
51,"f101v.26,+P0",f101v,4187,9,cheor,R00,P,A,1,paragraph_continuation,low_reliability_or_unassigned,,,,
52,"f101v.26,+P0",f101v,4187,10,okeo,R00,P,A,1,paragraph_continuation,low_reliability_or_unassigned,,,,
53,"f101v.26,+P0",f101v,4187,11,oiin,R00,P,A,1,paragraph_continuation,low_reliability_or_unassigned,,,,
54,"f101v.26,+P0",f101v,4187,12,cheey,R06,P,A,1,paragraph_continuation,reliable_global,stolfi_inspired_signature,NG|S_EY|T_ey,global=global,R06
55,"f101v.26,+P0",f101v,4187,13,cthey,R04,P,A,1,paragraph_continuation,low_reliability_or_unassigned,,,,
