scope_name,lens,candidates,induction_supported,tokenization_supported,both_supported
currier,broad_shape,77,15,6,2
currier,conservative_morphology,55,13,1,0
currier,stolfi_inspired_signature,73,21,11,8
currier,surface_token,59,20,24,19
currier_hand,broad_shape,80,20,7,5
currier_hand,conservative_morphology,58,12,2,1
currier_hand,stolfi_inspired_signature,73,24,11,9
currier_hand,surface_token,59,20,24,18
currier_marker,broad_shape,68,12,4,1
currier_marker,conservative_morphology,53,10,0,0
currier_marker,stolfi_inspired_signature,66,17,9,7
currier_marker,surface_token,54,19,22,18
global,broad_shape,79,24,8,4
global,conservative_morphology,54,16,2,1
global,stolfi_inspired_signature,82,27,12,9
global,surface_token,72,23,26,20
hand,broad_shape,80,21,8,6
hand,conservative_morphology,62,15,2,1
hand,stolfi_inspired_signature,76,26,11,9
hand,surface_token,61,20,24,18
line_marker,broad_shape,69,11,5,1
line_marker,conservative_morphology,46,6,0,0
line_marker,stolfi_inspired_signature,74,18,8,5
line_marker,surface_token,62,19,22,18
section,broad_shape,74,16,3,2
section,conservative_morphology,59,17,1,1
section,stolfi_inspired_signature,71,27,7,6
section,surface_token,47,14,20,13
section_currier,broad_shape,73,12,5,4
section_currier,conservative_morphology,54,13,3,2
section_currier,stolfi_inspired_signature,62,23,7,6
section_currier,surface_token,38,9,15,9
section_hand,broad_shape,72,14,5,4
section_hand,conservative_morphology,56,16,3,2
section_hand,stolfi_inspired_signature,63,24,6,5
section_hand,surface_token,39,8,14,8
section_marker,broad_shape,59,9,1,0
section_marker,conservative_morphology,53,16,1,1
section_marker,stolfi_inspired_signature,63,22,5,4
section_marker,surface_token,42,11,18,11
